"","Mean revenue","Revenue CV","Gini index"
"Access","","",""
"   Easy Access","1.56","0.38","0.15"
"   Medium Access","1.59","0.37","0.27"
"   Hard Access","1.66","0.38","0.39"
"Synchrony","","",""
"   Asynchronous","1.59","0.33","0.27"
"   Independent","1.59","0.37","0.27"
"   Synchronous","1.59","0.42","0.27"
"Synchrony & Access","","",""
"   Asynchronous Easy Access","1.56","0.33","0.15"
"   Synchronous Easy Access","1.56","0.43","0.15"
"   Asynchronous Hard Access","1.66","0.34","0.39"
"   Synchronous Hard Access","1.66","0.41","0.39"
